Hay 91 mayores de edad y 9 menores de edad.
La persona de mayor edad tiene 125 años y la de menor edad, 2 años{2: 1, 3: 1, 8: 1, 9: 2, 11: 1, 15: 2, 16: 1, 19: 1, 20: 1, 21: 1, 23: 1, 24: 1, 26: 1, 27: 1, 29: 1, 30: 1, 33: 3, 34: 2, 35: 1, 37: 2, 38: 1, 39: 1, 40: 3, 41: 2, 47: 1, 49: 1, 50: 2, 51: 1, 54: 1, 55: 1, 56: 1, 58: 1, 60: 2, 63: 2, 64: 1, 67: 1, 71: 1, 76: 2, 78: 1, 79: 1, 82: 3, 83: 2, 85: 1, 86: 4, 87: 1, 88: 2, 90: 1, 91: 2, 93: 2, 94: 2, 95: 2, 96: 1, 97: 1, 99: 2, 100: 1, 102: 2, 103: 1, 104: 1, 106: 1, 107: 1, 108: 1, 111: 2, 113: 2, 114: 1, 115: 1, 116: 3, 119: 1, 122: 1, 123: 1, 125: 1}
Porcentaje edades:
Edad: 2, porcentaje: 1%
Edad: 3, porcentaje: 1%
Edad: 8, porcentaje: 1%
Edad: 9, porcentaje: 2%
Edad: 11, porcentaje: 1%
Edad: 15, porcentaje: 2%
Edad: 16, porcentaje: 1%
Edad: 19, porcentaje: 1%
Edad: 20, porcentaje: 1%
Edad: 21, porcentaje: 1%
Edad: 23, porcentaje: 1%
Edad: 24, porcentaje: 1%
Edad: 26, porcentaje: 1%
Edad: 27, porcentaje: 1%
Edad: 29, porcentaje: 1%
Edad: 30, porcentaje: 1%
Edad: 33, porcentaje: 3%
Edad: 34, porcentaje: 2%
Edad: 35, porcentaje: 1%
Edad: 37, porcentaje: 2%
Edad: 38, porcentaje: 1%
Edad: 39, porcentaje: 1%
Edad: 40, porcentaje: 3%
Edad: 41, porcentaje: 2%
Edad: 47, porcentaje: 1%
Edad: 49, porcentaje: 1%
Edad: 50, porcentaje: 2%
Edad: 51, porcentaje: 1%
Edad: 54, porcentaje: 1%
Edad: 55, porcentaje: 1%
Edad: 56, porcentaje: 1%
Edad: 58, porcentaje: 1%
Edad: 60, porcentaje: 2%
Edad: 63, porcentaje: 2%
Edad: 64, porcentaje: 1%
Edad: 67, porcentaje: 1%
Edad: 71, porcentaje: 1%
Edad: 76, porcentaje: 2%
Edad: 78, porcentaje: 1%
Edad: 79, porcentaje: 1%
Edad: 82, porcentaje: 3%
Edad: 83, porcentaje: 2%
Edad: 85, porcentaje: 1%
Edad: 86, porcentaje: 4%
Edad: 87, porcentaje: 1%
Edad: 88, porcentaje: 2%
Edad: 90, porcentaje: 1%
Edad: 91, porcentaje: 2%
Edad: 93, porcentaje: 2%
Edad: 94, porcentaje: 2%
Edad: 95, porcentaje: 2%
Edad: 96, porcentaje: 1%
Edad: 97, porcentaje: 1%
Edad: 99, porcentaje: 2%
Edad: 100, porcentaje: 1%
Edad: 102, porcentaje: 2%
Edad: 103, porcentaje: 1%
Edad: 104, porcentaje: 1%
Edad: 106, porcentaje: 1%
Edad: 107, porcentaje: 1%
Edad: 108, porcentaje: 1%
Edad: 111, porcentaje: 2%
Edad: 113, porcentaje: 2%
Edad: 114, porcentaje: 1%
Edad: 115, porcentaje: 1%
Edad: 116, porcentaje: 3%
Edad: 119, porcentaje: 1%
Edad: 122, porcentaje: 1%
Edad: 123, porcentaje: 1%
Edad: 125, porcentaje: 1%
